#datumDate,datumId,datumValue
2021-06-24,EQUITY/PRICE/RIC:.STOXX50E/EUR,4122.4300000000
2021-06-24,EQUITY_OPTION/PRICE/RIC:.STOXX50E/EUR/2021-11-19/3975/C,241.4000000000
2021-06-24,EQUITY_OPTION/PRICE/RIC:.STOXX50E/EUR/2021-11-19/3975/P,123.7000000000
2021-06-24,EQUITY_OPTION/PRICE/RIC:.STOXX50E/EUR/2021-11-19/4000/C,223.8000000000
2021-06-24,EQUITY_OPTION/PRICE/RIC:.STOXX50E/EUR/2021-11-19/4000/P,131.1000000000
2021-06-24,EQUITY_OPTION/PRICE/RIC:.STOXX50E/EUR/2021-11-19/4025/C,206.6000000000
2021-06-24,EQUITY_OPTION/PRICE/RIC:.STOXX50E/EUR/2021-11-19/4025/P,139.0000000000
2021-06-24,EQUITY_OPTION/PRICE/RIC:.STOXX50E/EUR/2021-12-17/3975/C,254.0000000000
2021-06-24,EQUITY_OPTION/PRICE/RIC:.STOXX50E/EUR/2021-12-17/3975/P,141.9000000000
2021-06-24,EQUITY_OPTION/PRICE/RIC:.STOXX50E/EUR/2021-12-17/4000/C,236.7000000000
2021-06-24,EQUITY_OPTION/PRICE/RIC:.STOXX50E/EUR/2021-12-17/4000/P,149.6000000000
2021-06-24,EQUITY_OPTION/PRICE/RIC:.STOXX50E/EUR/2021-12-17/4025/C,219.9000000000
2021-06-24,EQUITY_OPTION/PRICE/RIC:.STOXX50E/EUR/2021-12-17/4025/P,157.9000000000
2021-06-24,EQUITY_OPTION/PRICE/RIC:.STOXX50E/EUR/2022-03-18/3950/C,305.7000000000
2021-06-24,EQUITY_OPTION/PRICE/RIC:.STOXX50E/EUR/2022-03-18/3950/P,186.2000000000
2021-06-24,EQUITY_OPTION/PRICE/RIC:.STOXX50E/EUR/2022-03-18/4000/C,272.2000000000
2021-06-24,EQUITY_OPTION/PRICE/RIC:.STOXX50E/EUR/2022-03-18/4000/P,202.9000000000
